"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1098657";"";"None";"332.35";"0";"1.65";"7";"NS(=O)(=O)c1cnc(Sc2ccc(F)c(F)c2)c(CO)c1";"IC50";"'='";"79.3";"nM";"7.10";"";"";"UO_0000065";"21.37";"0.46";"5.45";"7.61";"0";"CHEMBL1106608";"Inhibition of carbonic anhydrase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157929";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"79.3"
"CHEMBL158363";"";"None";"267.35";"0";"-0.06";"6";"NS(=O)(=O)c1cc2c(s1)[S+]([O-])CCC2O";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"26.18";"0.64";"7.06";"6.77";"0";"CHEMBL656573";"In vitro inhibition against purified human erythrocyte carbonic anhydrase II was determined (acetozolamide used as control.)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"1E-7"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"AZA";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"20.02";"nM";"7.70";"";"";"UO_0000065";"34.64";"0.81";"8.56";"6.69";"0";"CHEMBL2394010";"Inhibition of full length carbonic anhydrase-2 in human erythrocytes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390891";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"20.02"
"CHEMBL2392426";"";"None";"422.47";"0";"1.89";"5";"Cc1ccc(N2NC(=O)/C(=C/c3cccn3-c3ccc(S(N)(=O)=O)cc3)C2=O)cc1";"IC50";"'='";"27.16";"nM";"7.57";"";"";"UO_0000065";"17.91";"0.34";"5.68";"6.61";"0";"CHEMBL2394010";"Inhibition of full length carbonic anhydrase-2 in human erythrocytes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390891";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"27.16"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"1";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"69.7";"nM";"7.16";"";"";"UO_0000065";"32.20";"0.75";"8.02";"6.22";"0";"CHEMBL928731";"Inhibition of human carbonic anhydrase 2 in presence of 1.00 mM beta-mercaptoethanol";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141531";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"69.7"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"acetazolamide";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"32.40";"0.76";"8.06";"6.26";"0";"CHEMBL929038";"Inhibition of human carbonic anhydrase 2 assessed as 4-nitrophenyl phosphate hydrolysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141547";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"63.0"
"CHEMBL104459";"";"None";"265.31";"0";"-0.90";"3b";"NS(=O)(=O)c1ccc(S(=O)(=O)CCO)cc1";"IC50";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"24.0"
"CHEMBL451547";"";"None";"227.24";"0";"1.09";"8";"Cc1c(S(N)(=O)=O)oc2cc(O)ccc12";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"29.39";"0.61";"5.59";"7.14";"0";"CHEMBL656576";"In vitro inhibition of human carbonic anhydrase II (0.1 nM).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124833";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"210.0"
"CHEMBL105607";"";"None";"281.79";"0";"1.46";"3k";"NS(=O)(=O)c1ccc(SCCCO)c(Cl)c1";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"9.0"
"CHEMBL349815";"";"None";"213.21";"0";"0.79";"4b";"NS(=O)(=O)c1cc2cc(O)ccc2o1";"IC50";"'='";"6.5";"nM";"8.19";"";"";"UO_0000065";"38.40";"0.80";"7.40";"8.75";"0";"CHEMBL656576";"In vitro inhibition of human carbonic anhydrase II (0.1 nM).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124833";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"6.5"
